time, pascal, temperature
      19093105,-112.051, 25.3298
      19103105,-112.051, 25.3298
      19113105,-112.051, 25.3298
      19123105,-112.051, 25.3298
      19133105,-112.051, 25.3298
      19143105,-112.051, 25.3298
      19153105,-112.051, 25.3298
      19163233,-112.051, 25.3298
      19173172,-112.051, 25.3298
      19183106,-112.051, 25.3298
      19193105, -106.79, 25.3298
      19203105,-112.051, 25.3298
      19213105,-112.051, 25.3298
      19223105,-112.051, 25.3298
      19233105, -106.79, 25.3298
      19243105, -106.79, 25.3298
      19253105, -106.79, 25.3298
      19263105, -106.79, 25.3298
      19273105, -106.79, 25.3298
      19283105, -106.79, 25.3298
      19293105, -106.79, 25.3298
      19303105, -106.79, 25.3298
      19313105, -106.79, 25.3298
      19323244, -106.79, 25.3298
      19333173,-112.051, 25.3298
      19343106,-112.051, 25.3298
      19353105,-112.051, 25.3298
      19363105, -106.79, 25.3298
      19373105,-112.051, 25.3298
      19383105, -106.79, 25.3298
      19393105,-112.051, 25.3298
      19403105,-112.051, 25.3298
      19413105, -106.79, 25.3298
      19423221,-112.051, 25.3298
      19433227, -106.79, 25.3298
      19443234, -101.53, 25.3298
      19453228, -106.79, 25.3298
      19463214, -106.79, 25.3298
      19473106, -106.79, 25.3298
      19483230, -106.79, 25.3298
      19493172, -106.79, 25.3298
      19503106, -106.79, 25.3298
      19513105, -106.79, 25.3298
      19523105, -106.79, 25.3298
      19533105, -101.53, 25.3298
      19543105, -106.79, 25.3298
      19553105, -106.79, 25.3298
      19563105, -106.79, 25.3298
      19573105, -106.79, 25.3298
      19583105, -106.79, 25.3298
      19593105, -106.79, 25.3298
      19603105, -106.79, 25.3298
      19613105, -106.79, 25.3298
      19623105, -106.79, 25.3298
      19633105, -106.79, 25.3298
      19643224,-112.051, 25.3298
      19653179,-112.051, 25.3298
      19663106,-112.051, 25.3298
      19673105,-112.051, 25.3298
      19683105,-112.051, 25.3298
      19693105,-112.051, 25.3298
      19703105, -106.79, 25.3298
      19713105,-112.051, 25.3298
      19723105,-112.051, 25.3298
      19733105,-112.051, 25.3298
      19743105,-112.051, 25.3298
      19753105,-112.051, 25.3298
      19763105,-112.051, 25.3298
      19773105,-112.051, 25.3298
      19783105,-112.051, 25.3298
      19793105,-112.051, 25.3298
      19803280,-112.051, 25.3298
      19813180,-112.051, 25.3298
      19823106,-112.051, 25.3298
      19833105,-112.051, 25.3298
      19843105,-112.051, 25.3298
      19853105,-112.051, 25.3298
      19863105,-112.051, 25.3298
      19873105,-112.051, 25.3298
      19883105,-112.051, 25.3298
      19893105,-112.051, 25.3298
      19903105,-112.051, 25.3298
      19913105,-112.051, 25.3298
      19923105,-112.051, 25.3298
      19933105,-112.051, 25.3298
      19943105,-112.051, 25.3298
      19953105,-112.051, 25.3298
      19963286, -106.79, 25.3298
      19973184,-112.051, 25.3298
      19983106,-112.051, 25.3298
      19993105,-112.051, 25.3298
      20003105,-112.051, 25.3298
      20013105,-112.051, 25.3298
      20023105,-112.051, 25.3298
      20033105,-117.311, 25.3298
      20043105,-112.051, 25.3298
      20053105,-112.051, 25.3298
      20063105, -106.79, 25.3298
      20073105,-112.051, 25.3298
      20083105,-112.051, 25.3298
      20093105,-112.051, 25.3298
      20103105,-112.051, 25.3298
      20113105,-112.051, 25.3298
      20123226,-117.311, 25.3298
      20133174,-112.051, 25.3298
      20143106,-112.051, 25.3298
      20153105,-112.051, 25.3298
      20163105,-112.051, 25.3298
      20173105,-112.051, 25.3298
      20183105,-112.051, 25.3298
      20193105, -106.79, 25.3298
      20203105,-112.051, 25.3298
      20213105, -106.79, 25.3298
      20223105,-112.051, 25.3298
